,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Project,Sector,Target Profile,Deal Type,Max Selling Stake,Ticket Size ($Mn),Status,Company Name,Date Onboarded,Deal Lead,Teaser,IM,Model,VDR,Consultant
Copper,Healthcare,"Profile: A Hospital of 4 branches spread between Nairobi and Nakuru each featuring modern out-patient facilities. Offers the complete range of general and specialist healthcare services across all branches. Primarily targets corporate, insured and walk-in cash patients from mostly the 20-45 age bracket.
Revenue: USD 118,444
EBITDA: USD -49,005
Total Assets: USD 143,646",Equity,Majority,0.5,On Hold,Imperio Medical Group,25 July 2022,Evans W,Yes,No,No,Yes,n/a
Nitrogen,Healthcare,"Profile: The hospital group includes a network of nine branches with combined bed capacity of 726, serving over 499,261 outpatients and 33,374 inpatients per year at its peak.
Revenue: USD  17.67Mn
EBITDA: USD 3.14Mn
Total Assets: USD 519.63Mn",Equity & Debt,Majority,20.0,Open,NWH Hospital,14 June 2023,Evans M,Yes,Yes,Yes,Yes,Kevin K
Carbonate II,Healthcare,"Profile: A Hospital with 4 branches located across Nairobi offering both in-patient and out-patient services including laboratory services, orthopaedic services, mother & child clinic, ambulance services, dental services, wards, medical check-ups, pharmacy services and theatre services.
Revenue: USD 1.03Mn
EBITDA: USD 251k
Total Assets: USD 1.98Mn",Equity & Debt,Majority,5.0,On Hold,Huruma Nursing Homes,13 January 2022,Duncan M,Yes,No,No,No,n/a
Radon,Healthcare,"Profile: The company is an expanding healthcare entity, focused on offering diagnostic medical services. It is distinguished by its use of advanced, state-of-the-art equipment, ensuring high-quality care and accurate diagnoses. Its emphasis on cutting-edge technology positions the company as a key player in the healthcare sector, catering to the evolving needs of patients and the medical community.
Revenue: USD 1.0Mn
EBITDA:  USD 0.36Mn
Total Assets:  USD 1.33Mn",Equity & Debt,Minority,5.0,Open,Scanlab Center,17 October 2023,Amos G,Yes,Yes,Yes,Yes,n/a
Barium ,Healthcare,"Profile: The target is a top tier level 4 private hospital incorporated in Kenya and wholly owned by the founding doctor who actively manages and practice at the Hospital.
Revenue: USD10.32Mn
EBITDA: USD 2.15Mn
Total Assets: USD 9.81Mn",Debt,n/a,10.0,On Hold,Reale Medical Center,10 February 2021,Evans M,Yes,Yes,Yes,Yes,n/a
Silicate,Healthcare,"Profile: A group of Hospitals that operates a wide portfolio of healthcare assets including multi-specialty hospitals, clinics, daycare facilities, and diagnostic and fertility centres across Kenya, Uganda, and Rwanda, with a patient base spread across the entire African continent.
Revenue: USD 47.71Mn
EBITDA: USD 6.64Mn
Total Assets: USD 48.26Mn ",Equity & Debt,Full,40.0,On Hold,Mediheal Group of Hospitals,29 September 2022,Evans M,Yes,Yes,Yes,Yes,n/a
Titanium,Healthcare,"Profile: Level 5 private hospital located in Nairobi’s affluent suburb targeting mid-level market segment and wholly owned by the family of the founding doctor who still actively participates in the management of the facility.
Revenue: USD 924k
EBITDA: USD 63k
Total Assets: USD 855k",Equity,Majority,3.0,Open,South B Hospital,4 July 2022,Sheilla W,Yes,Yes,Yes,Yes,n/a
Uzima,Healthcare,"Profile: Level 4 hospital providing both inpatient and outpatient services. The Hospital has a fully computerised laboratory capable of performing a full range of diagnostic tests ranging from Microbiology, Haematology, Parasitology, Histology, Immunohematology to Biochemistry analysis of blood, renal function, liver function, urinalysis, culture screens and sensitivity.
Revenue: USD 1.2Mn
EBITDA: USD 0.3Mn
Total Assets: USD 0.6Mn",Equity,Majority,1.5,Open,Langata Hospital,22 February 2023,Brenda C,Yes,Yes,Yes,Yes,n/a
Protactinium,Healthcare,"Profile: The finest and most experienced private hospital in the South Coast of Kenya and a leading private hospital in Kenya offering routine consultations, in-patient management, dental services, physiotherapy, laboratory, diagnostic imaging, pharmacy, well-baby, well-man, well-woman clinics, and even specialized facilities like aesthetic medicine.
Revenue: USD 9Mn
EBITDA: USD 3.4Mn
Total Assets: 4Mn",Equity,Full,25.0,Closed,Diani Beach Hospital,7 January 2020,Evans W,Yes,n/a,n/a,Yes,n/a
Palladium,Healthcare,"Profile: A leading speciality level 4 Hospital established and co-owned by a consortium of specialist Medical Doctors, strategically located along a busy highway in western Kenya.
Revenue: USD 2.6Mn
EBITDA: USD 131,805
Total Assets: 1.9Mn",Equity & Debt,Minority,3.0,On Hold,Kisumu Specialists Hospital,26 January 2022,James O,Yes,Yes,Yes,Yes,n/a
Vanadium,Healthcare,"Profile: The target is a prominent healthcare institution in Kenya, known for its commitment to delivering high-quality medical services. The main branch, located in Ol Kalou town,Nyandarua County, operates as a Level 5 hospital, offering 24-hour outpatient and inpatient services.
Revenue: USD 1.1 Mn
EBITDA: USD 0.7Mn
Total Assets: USD 1.2Mn",Equity & Debt,Minority,1.0,Open,Pine Hospital,3 May 2024,Brenda C,Yes,Yes,Yes,Yes,n/a
Uranium,Healthcare,"Profile:  A Diagnostics and Imaging center strategically located in Kiambu Town offering radiology, imaging nad diagnostics services
Revenue: USD 50,027
EBITDA: USD 897
Total Assets: USD 66,515 ",Equity,Max Selling Stake,0.3,Open,Kiambu Diagnostic Imaging Center ,1 February 2024,Amos G,Yes,,Yes,Yes,n/a
Agate,Healthcare,"Profile: Established in 2013, the company prides itself with importation and distribution of high quality Medical/Hospital equipping products from a worldwide reputable network of partners.
The operations of the company consolidate the import, distribution, technical support and maintenance of
medical devices, equipment and disposables.
Main clients are public and private Hospitals, Nursing Homes, Pharmacies, Parastatals, NGOs and Vet Clinics.
Revenue: USD 4.13 Mn
EBITDA: USD 1.34 Mn
Total Assets: USD 2.94 Mn",Equity & Debt,Minority,10.0,Open,Apicalmed Limited,1 June 2024,Evans M,Yes,No,Yes,Yes,n/a
Niobium,Healthcare,"Profile: A 72 bed, profitable family owned hospoital located in Kiambu town on its 4th year of operations. The facility is located on a 1/4 acre plot of land and offeres a wide rage of healthcare services. 
Revenue: USD 1 .1 Mn
EBITDA: USD 342,997
Total Assets: USD 2.2 Mn",Equity & Debt,Majority,3.0,Open,St. Bridget Hospital,14 February 2024,Amos G,Yes,Yes,Yes,Yes,Peter K
Astatine,Manufacturing,"Profile: A dynamic and innovative company poised to revolutionize the bakery and confectionery industry in Kenya. The target produces bread, cakes and other confectioneries serving the coastal region of Kenya with a core in Mombasa, Malindi and Kilifi Towns. 
Revenues: USD 3.36Mn
EBITDA: USD 88,936
Total Asset: USD 774,755",Equity & Debt,Minority,1.0,On Hold,Mwanainchi Bakery,18 October 2023,Amos G,Yes,No,No,No,n/a
Erbium,Hospitality,"Profile: The target is a 35-room hotel on the shores of Lake Kivu in the town of Kamembe – Rusizi, South-West of Rwanda. Ranked as a 3 Stars hotel by the Rwanda Development Board. The resort is much known for providing its guests with luxurious, comfortable, and relaxing environment and has been ranked as a
4 to 5 Stars hotel in most travellers’ media including TripAdvisor
Revenue: USD 0.30Mn
EBITDA: USD 0.15Mn
Total Assets: USD 1.6Mn",Equity & Debt,Minority,0.6,Open,Emeraude Kivu Resort Hotel Rwanda,19 June 2023,Brenda C,Yes,No,Yes,Yes,n/a
Bismuth,Hospitality,"Profile: One of the biggest and most recognizable brands in the Hospitality industry in Kenya located at the Kenyan Coastal Line. The target was established in 1970's growing from a 7-room hotel to a resort with an apartment tower with over 300 rooms. 
Revenues: USD 948,000
EBITDA: USD 18,216
Total Asset: USD 34Mn",Equity & Debt,Majority,30.0,On Hold,Sun and Sand Beach,23 October 2023,Amos G,Yes,Yes,Yes,Yes,n/a
Lanthanum,Hospitality,"Profile: The target is a diversified mix of restaurants, boutique hotel and retail shops operated on the same mixed use 2 Acre property in Kampala. The property has a 28-room boutique hotel with four tiers of elegant suites (Standard, Junior, Executive & Business suites). The hotel is a lifestyle destination located on the outskirts of the bustling Kampala central business district adjacent to the US Embassy. It is home to notable upmarket brands in the food & service industry serving the high-end market.
Est: November 2002
Revenue: USD  4.1Mn
EBITDA: USD 1.9Mn
Total Assets: USD 6.6Mn",Equity,Full,14.0,Open,Le Petit Village Kampala,19 June 2023,Duncan M,Yes,Yes,No,No,n/a
Radon II,Hospitality,"Profile: The target is a hospitality development company that has developed 104 fully furnished apartments in Nairobi Upper Market area within the United Nations Blue Zone, located approx. 5Km from the United Nations Office in Nairobi, major diplomatic missions, and shopping malls. The target has sold 35% of the apartments. 
Total Assets: USD 20.45Mn",Equity & Debt,Minority,12.0,Open,Rosslyn House Limited,4 September 2023,Sheilla W,Yes,No,Yes,Yes,Kevin K
7,Bar and Restaurant,"Profile: The company is a dynamic and innovative company specializing in the management of bars and restaurenats. With a commitment to delivering exceptional dinin and nightlife experiences, with a plan to build a portfolio of unique establishments known for their ambiance, qualify and service.
Revenue: USD 0.5 Million
EBITDA: USD 0.09 Million
Total Assets: USD 0.16 Million",Debt,,0.5,Open,Number 7 ,,Evans M,No,No,Yes,No,n/a
Potassium,Housing,"Profile: The target is the leading developer, operator, and asset manager of rental properties in East Africa. The company develops and manages properties with a special focus on the Purpose-Built Student Accommodation (PBSA) and Private Rental Sector (PRS) sub-asset classes.
Revenue: USD
EBITDA: USD
Total Assets: USD ",Equity,,10.0,Open,Acorn Holdings,,Duncan M,Yes,Yes,Yes,Yes,Kevin K
Silicon,Housing,"Profile: The target is one of Kenya’s top Interior Design & Construction Services companies with over 30 years’ experience in sourcing high-quality interior design finishes and transforming spaces into beautiful and functional living areas, from concept to completion 
Revenue: USD 1.3 Mn
EBITDA: USD (75,937)
Total Assets: USD 657,049",Equity,Max Selling Stake,2.0,Open,Classic Mouldings,11 January 2024,Amos G,Yes,No,No,No,n/a
Permanganate,Technology,"Profile: A pioneering technology company dedicated to building a connected payments ecosystem in Kenya through strategic partnerships, innovative solutions, and user-centric methodologies.
Revenue: USD 512,731
EBITDA: USD 124,742
Total Assets: USD 397,431",Equity,Minority,1.2,Open,Kocela,15 February 2024,James O,Yes,No,No,Yes,Florent N
Tantalum,Manufacturing,"Profile: The target offers the latest Industrial machine manufacturing, Digital fabrication, and end-to-end automation solutions by designing and manufacturing high-precision manufacturing machines. 
Revenue: USD  0.8Mn
EBITDA: USD 0.2Mn
Total Assets: USD 0.45Mn",Debt,n/a,1.0,Open,Proteq Automation,4 May 2023,Brenda C,Yes,No,Yes,Yes,n/a
Platinum,Manufacturing,"Profile: A supplier and distributor of medical and industrial gas, currently serving a variety of industries including healthcare, aerospace, metal fabrication, food, and beverage industries.
Revenue: USD 1.1Mn
EBITDA: USD 260k
Total Assets: USD 1.9Mn",Debt,n/a,0.8,Open,Gas Africa,14 October 2022,Sheilla W,Yes,Yes,Yes,Yes,Peter K
Acetate,Technology,"Profile: A leading logistics and delivery service provider in Kenya, offering comprehensive last mile delivery for a leading quick service restaurant provider and retail chains in FMCG and pharmaceuticals.
Revenue: USD 2,323,737
EBITDA: USD 203,310
Total Assets: USD 639,738",Equity,Minority,2.0,Open,Kutuma Kenya Ltd,26 February 2024,James O,Yes,No,Yes,Yes,Florent N
Hassium,Manufacturing,"Profile: The target is a manufacturer and distributor of pharmaceuticals, hygiene, and veterinary products in Kenya. The company manufactures and distributes its own brands. It also has manufacturing and distribution partnerships with major companies in Europe, Asia, United States and South Africa.
Est: July 1958
Revenue: USD 7.7Mn
EBITDA: USD 1.32Mn
Total Assets: USD 11.7Mn",Equity & Debt,Minority,5.0,Open,HighChem East Africa Group,12 September 2023,Sheilla W,Yes,Yes,Yes,Yes,n/a
Lead,Manufacturing,"Profile: The target is one of the largest manufacturers of edible oils and soap products in Zambia. Over the years the company has efficiently increased market share despite the continued competitors. The target is a market leader in the edible oil category. The target seeks funding to fully operationalize its palm oil and soya beans processing factories.
Est: 1979
Revenue: USD  11.11Mn
EBITDA: USD 644k
Total Assets: USD 32.71Mn",Equity & Debt,Minority,15.0,Open,Unified Chemicals,5 May 2023,Sheilla W,Yes,No,No,Yes,Peter K
Rhenium,Manufacturing,"Profile: Kenya’s largest original equipment manufacturer of motor vehicle and motorcycle assembly sector with over 40 years of experience in manufacturing. Notable customers in the assembly business include Isuzu East Africa, Honda motorcycle, Opibus, Mobius Motors and other industry players who distribute to garages and spare parts shops across the East Africa region. 
Revenue: USD 3Mn
EBITDA: USD -0.02Mn
Total Assets: USD 8Mn",Equity & Debt,Minority,3.0,Closed & Reopened,Auto Springs,27 January 2023,Sheilla W,Yes,Yes,Yes,Yes,n/a
Carbonite,Manufacturing,"Profile: A profitable family owned provider of packaging solutions focused on food, beverage, cosmetics, vet, Agro chemical and pharmaceuticals packaging.
Revenue: USD 8.3Mn
EBITDA: USD 2Mn
Total Assets: 10Mn",Debt,Minority,2.0,Closed,LinePlast Group,13 February 2020,Evans W,Yes,Yes,Yes,Yes,n/a
Sulphide,Manufacturing,"Profile: A Kenyan manufacturer of paints, thinners, varnishes, and other finishing products. Has acquired an additional 5-acre piece of land and seeks to put up a purpose-built factory and upgrade the quality of its product offerings. Is gradually diversifying into middle market segments with premium products that are priced at a discount to tier 1 competitors.
Revenue: USD 5.5Mn
EBITDA: USD 0.9Mn
Total Assets: USD 5.5Mn",Equity & Debt,Majority,10.0,On Hold,United Paints Ltd,28 May 2022,Evans W,Yes,Yes,No,Yes,n/a
Mendelevium,Manufacturing,"Profile: A women owned and operated beauty and cosmetics manufacturer with strong brand image, reputation, and loyalty in the market for its approach in using natural raw materials only. Seeks to expand into other markets in Africa and abroad where popular retailers have expressed interest in stocking its products.
Revenue: USD 155,882
EBITDA: USD 9,906
Total Assets: USD 436,222",Equity & Debt,Minority,0.5,Open,Marini Naturals,4 November 2021,James O,Yes,No,Yes,Yes,n/a
Promethium,Manufacturing,"Profile: The target is a leading PVC Plastic Pipes and Fittings manufacturer within the East and Central African region. 
Revenue: USD
EBITDA: 
Total Assets: USD ",Equity,,5.0,Open,Metro Concepts EA,26-Jun-24,Duncan M,Yes,Yes,Yes,Yes,Kevin K
Molybdenum,Healthcare,"Profile: A Hospital strategically located 8km from CBD in a prime residential Nairobi suburb offering out-patient and in-patient services including laboratory, pharmacy, imaging, orthopaedics, maternity, surgical theatre, ENT, and emergency medical services. The hospital sits on a 1.1 acres piece of land with capacity to construct a 150+ bed new facility 
Revenue: USD 713,285
EBITDA: USD  271,102
Total Assets: USD 4.5Mn",Equity,Full,3.0,Open,Melchizedek Hospital ,24 November 2022,James O,Yes,No,Yes,Yes,n/a
Diamond,Media and Entertainment,"Profile: The company is an audio-visual company specializing in the production of quality, entertaining and informative content for different platforms. The company produces captivating TV Shows, Corporate audio-visual work engaging digital content and innovative merchandising to accompany the content.
Revenue: USD 1.36 Mn
EBITDA: USD 0.22 Mn
Total Assets: USD 0.59 Mn",Equity & Debt,Minority,2.3,Open,DnR Studios,1 June 2024,Evans M,Yes,Yes,Yes,Yes,n/a
Jasmine,Real Estate,"Profile: A prime real estate venture in an affluent suburb of Nairobi, featuring a meticulously developed 50-acre project. This venture includes an operational mall, a man-made lake, retail space, and significant undeveloped land poised for high-end residential, commercial, and recreational developments.
Revenue: USD 2.2Mn
EBITDA: USD 1.03Mn
Total Assets: USD 72Mn",Equity,100%,80.0,Open,Waterfront Karen,17-Apr-24,Duncan M,Yes,Yes,Yes,,Kevin K
Helium,Retail,"Profile: The market leader in retail sales of imported and locally manufactured beauty and cosmetics products with key focus on beauty & accessories, body care, hair care products, ladies ware & sanitary products, make-up, nail polish, among others.
Revenue: USD 19.2Mn
EBITDA: USD 1.3Mn
Total Assets: USD 11.6Mn",Equity,Majority,30.0,Open,BestLady Cosmetics,28 August 2019,Duncan M,Yes,Yes,Yes,Yes,n/a
Germanium,Services,"Profile: The target is a Kenyan Building, Civil and Telecommunications, ICT Infrastructure Company with presence in Kenya (HQ), Uganda, Tanzania, South Africa, Rwanda and Ethiopia.
Revenue: USD 3.4Mn
EBITDA: USD 0.8Mn
Total Assets: 9Mn",Equity & Debt,Minority,10.0,On Hold,Kinde Engineering,11 January 2022,Evans W,Yes,Yes,Yes,Yes,n/a
Nitride II,Agriculture,"Profile: The Company benefits 10,000+ farmers in Nyeri, Murang’a, and Kirinyaga by collecting and selling their milk. With 16,000 collective owners, it gets 9,000 daily milk deliveries. Besides processing milk, it produces affordable animal feeds, offers veterinary care, storage, and operates a feed factory. The 2014 introduction of affordable pasteurized milk earned brand regional recognition,.
Revenue: USD  16.1Mn
EBITDA: USD 1.9Mn
Total Assets: USD 6.6Mn",Debt,n/a,2.0,Open,Mukurweini Wakulima Dairy Ltd,26 July 2023,James O,Yes,Yes,Yes,Yes,n/a
X,Services,"Profile: xx 
Revenue: USD
EBITDA: USD
Total Assets: USD ",Debt,,0.5,Open,Xado East Africa,12 January 2024,Amos G,Yes,No,No,No,n/a
Radium II,Financial Services,"Profile: A credit only lending institution that specialises in providing secured personal and SME business loans, leasing and insurance products.
Interest Income: USD 6.9Mn
Loans: USD 15.7Mn
Net Book Value: USD 4.9Mn ",Debt,n/a,2.6,Closed & Reopened,MyCredit Limited ,24 March 2021,James O,Yes,Yes,No,Yes,n/a
Project Cadmium,Leasing,"Profile: A vehicle and equipment leasing company with a comprehensive network of fully-fledged subsidiaries in five countries:
Kenya (HQ), Uganda, Tanzania, Rwanda, and Zambia. It has a leasing portfolio of over USD 60 million and over 3,000 leased vehicles across the region.
Revenue: USD 7.16Mn
Gross Profit: USD 4.37Mn
Other Income: USD 0.97Mn
Expenses: USD 0.62Mn
EBITDA: USD 4.72Mn",Debt,n/a,3.0,On Hold,Quipbank,4 April 2023,James O,Yes,No,Yes,Yes,n/a
Verd,Technology,"Profile: A market leading e-Commerce store in the Kenyan entertainment media and video games industry. The company products include Speciality retail store (Online and front store) where hardware and software products are sold with major brands like PlayStation, XBOX, and Nintendo. Other products include digital gift card store (Online) and experiential marketing.
Revenue: USD 1.23Mn
EBITDA: USD 0.3 Mn 
Total Assets: USD 0.87Mn",Equity & Debt,Majority,1.1,Closed & Reopened,Vivid Gold,29 October 2022,Evans M,Yes,Yes,Yes,Yes,n/a
Silver II,Technology,"Profile: A fast growing Fintech company that enhances cross border trade in SSA region by automating the order-to-cashflow process and providing inventory financing. The company is based in the UK and has operations in Rwanda and Kenya.
Revenue: USD 0.142 Mn
EBITDA: USD (0.64Mn)
Total Assets: USD 0.63Mn",Debt,,1.0,On hold,SympliFi Ltd,17-Apr-24,Duncan M,Yes,Yes,Yes,Yes,n/a
Francium,Agriculture,"Profile: A Kenyan-based milk and cheese manufacturing company.
Revenue: USD 0.22Mn
EBITDA: USD -0.66Mn
Total Assets: USD 0.30Mn",Equity,Full,0.4,On Hold,Raka Milk Processors,16 April 2023,James O,No,No,Yes,Yes,n/a
Citrate,Technology,"Profile: An EdTech startup focused on bridging the gap between traditional education and the modern workforce's needs. It offers a comprehensive suite of online courses designed to equip learners with practical skills and knowledge. These courses cover a range of topics including board-level training, C-suite training, management and business operations, self-employment, and professional certifications.",Equity,Minority,0.5,Open,Skillsasa,15 February 2024,James O,Yes,No,No,Yes,Florent N
Thallium,Education,"Profile: An esteemed educational institution that offers comprehensive educational services, focusing on inclusive learning, strategic growth, and nurturing greatness in its students.
Revenue: USD 975,458
EBITDA: USD (35,571)
Total Assets: USD 783,114",Equity,Minority,0.6,Open,Taraji School,22 February 2024,James O,Yes,No,Yes,Yes,n/a
Selenium,Technology,"Profile:The target is a Tier 4 regulated money lending institution in Uganda that was incorporated in 2015. The company is registered under the Uganda Microfinance Regulatory Authority.  The target provides a mobile app linking pre-qualified secured loan borrowers (MSMEs and individuals) to professional individual and corporate money lenders in Uganda and beyond.
Revenue: USD 130,779
EBITDA: USD 52,091
Total Assets: USD 599,321",Equity & Debt,,2.0,Open,Enabling Finance Uganda,,Evans M,No,No,No,No,Florent N
Iodine,Technology,"Profile: The target is an innovative Agri-tech company transforming Africa's agricultural supply chain by connecting farmers directly with consumers through technology and efficient logistics solutions
Revenue: USD 
EBITDA: USD
Total Assets: USD ",Equity & Debt,Minority,0.5,On Hold,Kelsoko,4 July 2024,Amos G,No,No,No,No,Florent N
Xenon,Technology,"Profile: The target is a Kenyan-owned licensed digital credit lender founded in 2016. The company seeks to uplift small and medium enterprises(SMEs) as well as the lives of those living below the poverty line by providing them access to finance through digital micro credit.
Net loans: USD 264,821
Total assets: USD 324,214",Equity,Majority,0.5,Open,Okolea Fintech,5 December 2019,Brenda C,Yes,Yes,Yes,Yes,n/a
Uranium II,Financial Services,"Profile: The Company's unique identity lies at the intersection of technology and financial inclusion. They harness innovative digital solutions to address the financial needs of individuals and businesses in Kenya. Their core offerings encompass a wide array of financial services, including small loans, savings accounts, asset finance, and comprehensive financial education.
Net Interest Income: USD 0.42Mn
Total Deposits: USD 0.50Mn
Total Loans: USD 0.80Mn
Total Assets: USD 2.83Mn",Equity & Debt,Minority,10.0,On Hold,UMBA Inc,10 August 2023,James O,Yes,No,Yes,Yes,n/a
Carbon,Technology,"""Profile: Established in September 2012, the company provides services and products such as:
1. Consultancy Services - Network Security Assessment (Penetration Testing), Fraud Investigation Services etc.
2. Trainings - Certified Hacking Forensics Investigator Training, Source Code Security Analysis Training etc.
3. Tools - Intrusion Prevention Systems, Vulnerability Management, Full Disk Encryption, Source Code Analysis etc.
Revenue: USD 1.52 Mn
EBITDA: USD 0.12 Mn
Total Assets: USD 0.68 Mn""",Equity,Majority,1.1,Open,Cyber Security Africa,1 March 2024,Evans M,Yes,No,Yes,No,Florent N
Nickel,Technology,"Profile: The target, a world-leading virtual school having over 3,000 registrations from over 25 countries in the last 3 years, presents a profitable, scalable and sustainable business opportunity that has built a reputation of trust and reliability from its clientele. 
Revenue: USD 181,693
EBITDA: USD 41,600
Total Assets: USD 81,381",Debt,,1.5,Open,Sunrise Virtual,25 January 2024,Amos G,Yes,No,No,No,Florent N
Tennessine,Technology,"Profile:  The target is a fast-growing FinTech company based in Kenya that has developed a unique modern banking platform for savings groups, fundraising circles and SMEs. The company has been selected as a stokvel partner by MTN, one of Africa's largest Mobile Network Operators, to launch a new product in South Africa, Nigeria, Cameroon, Ivory Coast and Ghana.
Revenue: USD 234k
EBITDA: USD (7.1k)
Total Assets: USD 2.37Mn",Equity,Minority,2.0,Open,Malipo Circles ,20 February 2024,Sheilla W,Yes,Yes,Yes,Yes,Florent N
Uranium,Technology,"Profile: A health-tech company that develops hospital management software catering for all hospital medical, accounting and clerical operations incorporating innovative AI tools. Adaptable to serve all sizes of hospitals, clinics and telemedicine organizations. Has attained clientele from Western, Eastern, and Southern Africa as well as Southeast Asia. Aiming to grow extensively throughout Africa.
Gross Profit: USD 0.04Mn
EBITDA: USD  -0.79Mn
Total Assets: USD  2.49Mn",Equity,Minority,2.0,On Hold,Unumed,9 June 2022,James O,Yes,No,Yes,Yes,n/a
Terbium,Healthcare,"Profile: An out-patient facility located in the middle of Nairobi’s busy Westlands Business Hub offering centralized, affordable and quality healthcare services.
Revenue: USD 0.44Mn
EBITDA: USD 0.08Mn
Total Assets: 0.24Mn",Debt,n/a,0.5,On Hold,Westlands Medical,6 February 2023,James O,Yes,No,Yes,Yes,n/a
Oxygen,Water & Sanitation,"Profile: The target is a water solutions provider focused on supply of water & solar drilling equipment, pumping, water treatment and wastewater management in East Africa.
Revenue: USD 4.2Mn
EBITDA: USD 339k
Total Assets: USD 4.8Mn",Equity & Debt,Minority,3.0,Closed & Reopened,TransAfrica Water Systems,3 February 2020,Sheilla W,Yes,Yes,Yes,Yes,n/a
,Energy,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,,Open,Country Energy (Uganda) Ltd,,,,,,,Peter K
Polonium,Technology,"Profile: The target is a startup that leverages blockchain technology to tokenize ownership of coffee trees, allowing investors to own a share of the profits from coffee production without physically managing the trees. This model help farmers access funds needed for rehabilitation, pest management, and other improvements while providing investors with a stake in the agricultural asset.",Equity & Debt,Minority,0.1,Open,Project Mocha Limited,1 October 2024,Brenda C,No,No,No,No,
Darmstadtium ,Technology,"Profile: A tech startup that provides an AI development platform called Centric, designed to make artificial intelligence accessible, simple, and affordable for businesses by integrating prebuilt AI capabilities into existing processes and technology. They focus on delivering solutions that empower businesses to embed intelligence, achieve faster outcomes, and address challenges in diverse sectors like fintech, agriculture, and consumer goods.",Equity,n/a,0.8,Open,Davu AI,9 September 2024,James O,Yes,No,Yes,Yes,Florent N
Zinc,FMCG,"Profile: The target is a Kenyan company engaged in the manufacturing of Fast Moving Consumer Goods specializing in hygiene and personal care products. The target’s key products are baby diapers, sanitary towels and tissue papers; in addition, the company supplies shoe polish, baby wipes and panty liners outsourced from manufacturers in China. 
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",Equity,Minority,5.0,Open,Interconsumer Products Limited(ICPL),15 August 2024,Brenda C,No,No,No,No,
Europium,Financial Services,"Profile: The Company's unique identity lies at the intersection of technology and financial inclusion. They harness innovative digital solutions to address the financial needs of individuals and businesses in Uganda. Their core offerings encompass a wide array of financial services, including small loans, savings accounts, asset finance, and comprehensive financial education. The Ugandan Bank is part of a larger business with banking operations in Kenya and Zambia
Net Interest Income: USD 3.0Mn
Total Deposits: USD 1.42Mn
Total Loans: USD 5.4Mn
Total Assets: USD 6.9Mn",Debt,,1.0,Open,Umoja Microfiance- Uganda,20 September 2024,Duncan M,,,,,
,,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,,Open,,,,,,,,
,Technology,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,Minority,,Open,Godai Limited,2 September 2024,Sheilla W,No,No,No,No,
,Healthcare,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,,Open,Clinical Research Health Network,,Sheilla W,No,No,No,No,
Californium,Financial Services,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,,Open,Jeen Mata Microfinance,,Sheilla W,No,No,No,No,
,Financial Services,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,,Open,Truesales Credit ,,Sheilla W,No,No,No,No,
Livermorium,Financial Services,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,,Open,ECLOF Uganda,,Sheilla W,No,No,No,No,
,Technology,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,Minority,,Open,Geviton,,Sheilla W,No,No,No,No,
Flerovium,Energy,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,21.0,Open,Pabit HPP,,Sheilla W,,,,,
Hafnium,Energy,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,,,Open,Resus Energy,,Sheilla W,,,,,
zenDawa,Technology,"Profile: xx.
Revenue: USD xMn
EBITDA: USDx
Total Assets: USD xMn",,Minority,1.0,Open,ZenDawa,,Evans M,No,No,No,No,Florent N
,Technology,"Profile: The target is a healthcare-focused insurance provider offering digital health insurance solutions. The company provides affordable and accessible health coverage plans tailored to individual and corporate clients, often integrating digital tools for efficient claims processing, telemedicine, and health management. The company is currently licensed and operational in Rwanda, is licensed in Kenya, and is preparing to launch in Kenya.
Gross Earned Premiums: USD 2.2Mn
EBITDA: -USD 0.4 Mn
Total Assets: USD 4.2 Mn",Equity,Minority,1,Open,Eden Care Healthcare,3 October 2023,Brenda C,No,n/a,n/a,Yes,Florent N
,Technology,"Profile: The target is a Kenyan logistics and e-commerce startup focused on two main sectors: a delivery service and a specialized motorcycle marketplace.The delivery service provides provides last mile delivery, catering to e-commerce, groceries, pharmacies , and FMCG sectors. The marketplace offers a centralized space for purchasing motorcycles, accessories and related services.",Equity,Minority,,Open,Mwendo Delivery ,11 October 2024,Brenda C,No,No,No,No,Florent N
